canonical_name,synonyms,category,evidence_level,evidence_summary,dose_min,dose_max,dose_unit,dose_notes,perimenopause_specific,primary_claim,ssri_interaction,thyroid_interaction,bleeding_risk,liver_caution,hormone_active,pregnancy_safe,regulatory_risk,research_gaps
Magnesium Glycinate,Magnesium bisglycinate; as Magnesium Glycinate; Magnesium diglycinate; MgG,Mineral,Strong,"Multiple RCTs support magnesium supplementation for sleep quality, mood, and muscle function. Glycinate form shows superior tolerability and bioavailability versus oxide; specific perimenopause RCTs limited but sleep and anxiety benefits broadly demonstrated.",100,400,mg,Glycinate form has higher bioavailability than oxide; split doses improve absorption; upper tolerable limit 350mg supplemental per day (EU/UK); take with food to reduce GI effects.,Yes,Sleep support,No,Possible,No,No,No,Yes,Low,No large RCTs specifically in perimenopausal women measuring hot flush frequency or hormonal outcomes.
Magnesium Oxide,Mag oxide; MgO; as Magnesium Oxide,Mineral,Some,RCTs show modest benefit for constipation and migraine prevention. Bioavailability significantly lower than organic forms (~4%); limited evidence for mood or sleep at typical supplement doses.,200,500,mg,Poor bioavailability (~4%); primarily acts as osmotic laxative at higher doses; not recommended as preferred form for systemic magnesium repletion.,No,Laxative effect,No,Possible,No,No,No,Yes,Low,No head-to-head RCTs comparing forms specifically in perimenopausal populations.
Magnesium Citrate,Magnesium citrate anhydrous; as Magnesium Citrate,Mineral,Some,RCTs support use for constipation and kidney stone prevention. Intermediate bioavailability (~25%); commonly used in sleep and relaxation formulas though RCT evidence for these outcomes is thinner than for glycinate form.,150,400,mg,Better absorbed than oxide; commonly used in powder drink formats; may have mild laxative effect at doses above 400mg.,No,Constipation relief,No,Possible,No,No,No,Yes,Low,Limited direct comparison RCTs between citrate and glycinate for mood and sleep outcomes.
Magnesium Malate,Dimagnesium malate; as Magnesium Malate,Mineral,Limited,Small RCTs suggest benefit for fibromyalgia pain and fatigue. Malic acid component may support mitochondrial energy production. Limited perimenopause-specific evidence.,150,400,mg,May be particularly suited to energy and fatigue applications due to malic acid component; limited safety data at high doses long-term.,No,Fatigue reduction,No,Possible,No,No,No,Yes,Low,No RCTs in perimenopausal women; fibromyalgia evidence not directly translatable.
Magnesium Taurate,Magnesium ditaurate; as Magnesium Taurate,Mineral,Limited,Very limited human RCT data. Theoretical cardiovascular and neurological benefits from combined magnesium and taurine. Animal data more extensive than human trials.,125,500,mg,Taurine component may offer additional cardiovascular benefit; limited human RCT data limits dosing guidance.,No,Cardiovascular support,No,Possible,No,No,No,Yes,Low,Almost no human RCT data; clinical utility versus other forms unestablished.
Calcium Carbonate,As Calcium Carbonate; CaCO3; chalk,Mineral,Strong,Strong evidence for bone density maintenance when combined with vitamin D. Carbonate form requires stomach acid for absorption; less effective in older women with reduced gastric acid. Excess calcium supplementation associated with cardiovascular risk in some meta-analyses.,500,1200,mg,Must be taken with food to optimise absorption; split doses of 500mg improve uptake; total calcium intake (diet + supplement) should not exceed 2500mg/day.,Yes,Bone density,No,Yes,No,No,No,Yes,Low,Long-term cardiovascular safety of calcium supplementation in perimenopausal women remains debated.
Calcium Citrate,As Calcium Citrate; calcium citrate tetrahydrate,Mineral,Strong,Superior absorption to carbonate particularly in achlorhydria and post-menopausal women with reduced gastric acid. RCTs support bone density maintenance. Preferred form for women over 50.,250,1000,mg,Can be taken without food; better absorbed than carbonate in women with low stomach acid; useful for post-bariatric patients.,Yes,Bone density,No,Yes,No,No,No,Yes,Low,Head-to-head fracture outcome RCTs comparing citrate vs carbonate specifically in perimenopause are lacking.
Vitamin D3,Cholecalciferol; as Vitamin D3; Colecalciferol; Vigantol,Vitamin,Strong,"Extensive RCT and meta-analysis evidence for bone health, immune function, and mood when deficient. Evidence for reducing fracture risk is strong when combined with calcium. Some RCTs show mood benefit in deficient individuals. Perimenopause-specific bone and mood data available.",400,4000,IU,"Requires cofactors (K2, magnesium) for optimal calcium metabolism; fat-soluble so take with food; 25(OH)D blood level testing recommended before high-dose supplementation; UK NHS advises 400IU daily for general population.",Yes,Bone health,No,No,No,No,No,Yes,Low,Optimal dosing for perimenopause-specific outcomes (beyond deficiency correction) not yet established in large RCTs.
Vitamin D2,Ergocalciferol; as Vitamin D2; Ergocalciferolum,Vitamin,Some,Less potent than D3 at raising serum 25(OH)D; RCTs show it raises blood levels but less efficiently. Suitable for vegans. Most bone health RCT evidence generated with D3 form.,400,2000,IU,D3 is approximately 87% more potent than D2 at raising serum 25(OH)D levels; D2 suitable for vegans/vegetarians but D3 preferred clinically.,No,Bone health,No,No,No,No,No,Yes,Low,Comparative RCTs of D2 vs D3 specifically for perimenopause outcomes (bone mood cognition) are lacking.
Vitamin K2 MK-7,Menaquinone-7; MK-7; as Vitamin K2 MK-7; Natto-derived K2,Vitamin,Some,"RCTs show K2 MK-7 activates osteocalcin and matrix Gla protein, improving bone mineral density and reducing arterial calcification. MK-7 has longer half-life than MK-4. Perimenopause bone density RCTs exist.",90,360,mcg,Take with fat-containing meal; interacts with warfarin and anticoagulants — contraindicated; MK-7 has superior half-life (72h vs 1-2h for MK-4); 90mcg EU NRV is below therapeutic bone-protective doses used in trials.,Yes,Bone density,No,No,Yes,No,No,Yes,Low,Long-term fracture outcome RCTs specifically in perimenopausal women are lacking; optimal dose above NRV unconfirmed.
Vitamin K2 MK-4,Menatetrenone; MK-4; as Vitamin K2 MK-4,Vitamin,Some,RCTs primarily from Japan using high doses (45mg) show reduced fracture risk. Lower doses used in supplements have less evidence. MK-4 has shorter half-life requiring more frequent dosing.,1000,45000,mcg,High therapeutic doses (45mg) used in Japanese trials are far above typical supplement levels; standard supplement doses (100–200mcg) have limited supporting RCT evidence.,Yes,Bone density,No,No,Yes,No,No,Yes,Medium,Most evidence from high-dose pharmaceutical use in Japan; applicability of low-dose supplement levels unclear.
Vitamin K1,Phylloquinone; Phytonadione; as Vitamin K1,Vitamin,Some,RCT evidence mainly for coagulation and some bone support. Less cardiovascular-protective than K2 forms. Low risk of supplementation but competes with warfarin.,75,1000,mcg,Interacts with anticoagulant medications including warfarin; take with fat-containing food; K1 is primarily hepatic (clotting) while K2 acts peripherally (bone/arterial).,No,Blood clotting,No,No,Yes,No,No,Yes,Low,Limited perimenopause-specific RCTs compared to K2 forms.
Vitamin C,L-ascorbic acid; Ascorbic acid; as Vitamin C; Sodium ascorbate; Calcium ascorbate; Ester-C; ascorbyl palmitate,Vitamin,Strong,"Extensive evidence for immune function, collagen synthesis, and antioxidant activity. RCT evidence for reducing common cold duration modest. Limited perimenopause-specific trials but collagen and oxidative stress relevance is indirect.",250,2000,mg,"High doses (>1000mg) may cause GI upset; tolerable upper limit 2000mg/day; buffered forms (sodium ascorbate, Ester-C) gentler on stomach; time-release forms maintain plasma levels; take with iron to enhance non-haem absorption.",No,Immune function,No,Possible,No,No,No,Yes,Low,Perimenopause-specific RCTs measuring hot flush or hormonal outcomes are absent.
Vitamin B1,Thiamine; Thiamine HCl; Thiamine mononitrate; as Vitamin B1; Benfotiamine,Vitamin,Some,RCTs support thiamine for energy metabolism and neurological function. Benfotiamine (fat-soluble form) shows better bioavailability and neuroprotective properties. Deficiency common in women with high carbohydrate diets or alcohol use.,1,300,mg,Benfotiamine has superior bioavailability versus water-soluble thiamine HCl; water-soluble forms excreted rapidly so consistent intake important.,No,Energy metabolism,No,No,No,No,No,Yes,Low,No RCTs specifically examining thiamine supplementation in perimenopausal women.
Vitamin B2,Riboflavin; Riboflavin 5-phosphate; as Vitamin B2,Vitamin,Some,RCT evidence supports riboflavin for migraine prevention (400mg/day). Essential for energy metabolism and activating other B vitamins. May cause harmless bright yellow urine at supplement doses.,1.4,400,mg,Migraine prophylaxis requires 400mg/day — far above NRV; may be less effective in MTHFR mutation carriers who need active forms; take with food.,No,Migraine prevention,No,No,No,No,No,Yes,Low,No RCTs specifically in perimenopausal migraine sufferers.
Vitamin B3 Niacin,Niacin; Nicotinic acid; as Vitamin B3; Niacinamide; Nicotinamide,Vitamin,Strong,Strong evidence for cholesterol management at pharmacological doses (1000-3000mg). Niacinamide (nicotinamide) does not cause flushing and has some skin and joint evidence. RCT evidence at supplement doses for energy or mood is thinner.,14,3000,mg,High-dose niacin (>500mg) causes flushing — use flush-free niacinamide or extended-release forms for supplement purposes; liver toxicity possible at high doses; time-release forms have higher hepatotoxicity risk.,No,Cholesterol management,No,No,No,Yes,No,Yes,Medium,Perimenopause-specific outcomes beyond lipid management not studied in RCTs.
Vitamin B3 Niacinamide,Nicotinamide; Niacinamide; as Nicotinamide; as Niacinamide,Vitamin,Some,"RCTs show nicotinamide effective for skin conditions (acne, rosacea) and may reduce skin cancer risk. No flushing effect unlike niacin. Limited evidence for energy or cognitive benefits at supplement doses.",15,1500,mg,Does not cause niacin flush; preferred form for general supplementation; high doses (>3000mg) associated with nausea and hepatotoxicity.,No,Skin health,No,No,No,Yes,No,Yes,Low,Long-term safety data above 500mg/day in perimenopausal women is lacking.
Vitamin B5,Pantothenic acid; D-pantothenic acid; Calcium pantothenate; as Vitamin B5; Panthenol,Vitamin,Limited,Limited RCT evidence for standalone supplementation; essential for CoA synthesis and energy metabolism. Topical panthenol has strong skin evidence. No meaningful perimenopause-specific trials.,5,500,mg,Generally well tolerated; no established upper tolerable limit; deficiency is rare on balanced diet.,No,Energy metabolism,No,No,No,No,No,Yes,Low,Virtually no RCTs examining supplemental B5 for perimenopause-relevant outcomes.
Vitamin B6 Pyridoxine,Pyridoxine HCl; Pyridoxal-5-phosphate; P5P; as Vitamin B6; as Pyridoxine,Vitamin,Strong,Strong evidence for PMS symptom relief and nausea in pregnancy. RCTs support mood and hormonal balance benefits relevant to perimenopause. P5P (active form) does not require hepatic conversion. Upper tolerable limit important — neuropathy risk at high doses.,1.4,100,mg,P5P is the active coenzyme form and preferred for those with liver issues; neuropathy risk above 200mg/day long-term; EU upper tolerable limit 25mg/day; EFSA health claim approved for protein and glycogen metabolism.,Yes,PMS/mood support,Possible,No,No,No,No,No,Low,RCTs in perimenopause specifically for mood and vasomotor symptoms are limited; optimal form comparison needed.
Vitamin B7,Biotin; D-Biotin; as Vitamin B7; as Biotin,Vitamin,Limited,Limited RCT evidence for hair/nail strength at 2500-5000mcg; widely marketed but evidence for hair loss in non-deficient individuals is weak. Can interfere with thyroid and troponin immunoassay lab tests.,30,5000,mcg,"Can falsely alter thyroid hormone lab results (TSH, T4) — advise stopping 48-72h before blood tests; deficiency rare; widely over-supplemented relative to evidence base.",No,Hair and nail health,No,Yes,No,No,No,Yes,Low,No well-powered RCTs demonstrate hair growth benefit in women without biotin deficiency.
Vitamin B9 Folic Acid,Folic acid; Folate; as Vitamin B9; as Folic Acid,Vitamin,Strong,"Strong evidence for neural tube defect prevention in pregnancy. RCTs support cardiovascular and mood benefits, particularly in MTHFR variants. Perimenopause relevance includes cardiovascular protection and cognitive support. High doses may mask B12 deficiency.",200,1000,mcg,MTHFR C677T and A1298C variants impair conversion of folic acid to active methylfolate; prefer methylfolate in these populations; EU upper tolerable limit 1000mcg/day; mask B12 deficiency at high doses.,No,Pregnancy nutrition,No,No,No,No,No,Yes,Low,MTHFR variant-specific dosing guidance in perimenopausal populations not established.
Methylfolate,5-MTHF; L-methylfolate; 5-methyltetrahydrofolate; Metafolin; Quatrefolic; as Methylfolate,Vitamin,Some,"Active form of folate that bypasses MTHFR conversion step. RCTs show benefit for depression and mood, particularly in MTHFR variants. Superior to folic acid for homocysteine lowering in some populations.",200,1000,mcg,Preferred form for individuals with MTHFR variants; may cause anxiety or overstimulation in some at high doses; more expensive than folic acid but more bioavailable for at-risk groups.,No,Mood support,Possible,No,No,No,No,Yes,Low,Large RCTs comparing methylfolate vs folic acid for perimenopause mood outcomes are absent.
Vitamin B12 Cyanocobalamin,Cyanocobalamin; as Vitamin B12; as Cyanocobalamin,Vitamin,Strong,"Strong evidence for neurological function, energy metabolism, and megaloblastic anaemia prevention. Absorption declines with age due to reduced intrinsic factor. Cyanocobalamin requires hepatic conversion to active forms.",1.5,1000,mcg,Sublingual or spray forms bypass gastric absorption issues; higher doses needed as oral absorption relies on intrinsic factor which declines with age; cyanocobalamin less preferred for those with MTHFR or renal issues.,No,Neurological function,No,No,No,No,No,Yes,Low,Optimal dose and form for age-related absorption decline in perimenopausal women not established.
Vitamin B12 Methylcobalamin,Methylcobalamin; as Methylcobalamin; active B12,Vitamin,Some,Active form of B12 that does not require hepatic conversion. Evidence for neurological protection and sleep regulation. May be superior for neurological applications and those with MTHFR variants.,250,5000,mcg,Preferred for neurological applications and methylation support; sublingual form may improve absorption in individuals with intrinsic factor deficiency; more stable in formulations than hydroxocobalamin.,No,Neurological function,No,No,No,No,No,Yes,Low,Direct comparison RCTs of methylcobalamin vs cyanocobalamin for perimenopause-specific outcomes lacking.
